swaps_id,swaps_timestamp,swaps_hash,swaps_to,swaps_from,swaps_tokenIn_id,swaps_tokenIn_name,swaps_tokenIn_symbol,swaps_tokenIn_decimals,swaps_tokenIn_lastPriceUSD,swaps_tokenIn_lastPriceBlockNumber,swaps_amountIn,swaps_amountInUSD,swaps_tokenOut_id,swaps_tokenOut_name,swaps_tokenOut_symbol,swaps_tokenOut_decimals,swaps_tokenOut_lastPriceUSD,swaps_tokenOut_lastPriceBlockNumber,swaps_amountOut,swaps_amountOutUSD,swaps_pool_name,dateTime,calDate
swap-0xcb59720de776cb0c61db4c1a8ededbb1381e098a1afcc85bf2686824da938927-2,1677085763,0xcb59720de776cb0c61db4c1a8ededbb1381e098a1afcc85bf2686824da938927,0x76fcf0e8c7ff37a47a799fa2cd4c13cde0d981c9,0x877e13f6908ba2d3675fbdd2dc565533911e7c8f,0x64aa3364f17a4d01c6f1751fd97c2bd3d7e7f1d5,Olympus,OHM,9,10.046108,16684353,213281579400,2142.6497810629753,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,18,0.999719,16683190,2211216910354997824314,2210.595558403188,50OHM-50DAI,2023-02-22 17:09:23,2023-02-22
swap-0x396c02c2b3f7d3f5d56961c6c30a82726cf852e773f2bba34e063357b8d8a7d7-3,1677080363,0x396c02c2b3f7d3f5d56961c6c30a82726cf852e773f2bba34e063357b8d8a7d7,0x76fcf0e8c7ff37a47a799fa2cd4c13cde0d981c9,0x4e0ba53a8bd472424bf304dc84503a9c526bf0a4,0x64aa3364f17a4d01c6f1751fd97c2bd3d7e7f1d5,Olympus,OHM,9,10.046108,16684353,640128266256,6430.797696660532,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,18,0.999719,16683190,6641246288742151761609,6639.380098535015,50OHM-50DAI,2023-02-22 15:39:23,2023-02-22
swap-0x6054c58ebf0731093a8b7c031e78e8229247e6802926d72a0cc218009f0f3747-210,1677074795,0x6054c58ebf0731093a8b7c031e78e8229247e6802926d72a0cc218009f0f3747,0x76fcf0e8c7ff37a47a799fa2cd4c13cde0d981c9,0xc9ec550bea1c64d779124b23a26292cc223327b6,0x64aa3364f17a4d01c6f1751fd97c2bd3d7e7f1d5,Olympus,OHM,9,10.046108,16684353,1145233499431,11505.139420501764,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,18,0.999719,16683190,11945176614583029202944,11941.820019954332,50OHM-50DAI,2023-02-22 14:06:35,2023-02-22
swap-0x1305c794480d606bdb3f9429627603ae56593969c65a813a7d3454c487fe5cbb-69,1677031715,0x1305c794480d606bdb3f9429627603ae56593969c65a813a7d3454c487fe5cbb,0x76fcf0e8c7ff37a47a799fa2cd4c13cde0d981c9,0x6db752822fb6a8636bc70f502e8f87ea2fd08b32,0x64aa3364f17a4d01c6f1751fd97c2bd3d7e7f1d5,Olympus,OHM,9,10.046108,16684353,1134451631138,11872.592201158428,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,18,0.999719,16683190,11836912341779959068506,11834.035972080907,50OHM-50DAI,2023-02-22 02:08:35,2023-02-22
swap-0x8acf7f8ff180de0d57328ac5c87d1633c25397466abda6698ddc98813cfb0e85-8,1677014747,0x8acf7f8ff180de0d57328ac5c87d1633c25397466abda6698ddc98813cfb0e85,0x76fcf0e8c7ff37a47a799fa2cd4c13cde0d981c9,0x3b25d8e0801df1264a3d3a5f0bb79bbc292a09fb,0x64aa3364f17a4d01c6f1751fd97c2bd3d7e7f1d5,Olympus,OHM,9,10.046108,16684353,545467550347,5708.585193481025,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,18,0.999719,16683190,5707784660010983080051,5706.397668338601,50OHM-50DAI,2023-02-21 21:25:47,2023-02-21
swap-0xa71d9614f4704feff20e33726881f24f062af0b27ee75283a03f1a33c757e102-35,1677014495,0xa71d9614f4704feff20e33726881f24f062af0b27ee75283a03f1a33c757e102,0x76fcf0e8c7ff37a47a799fa2cd4c13cde0d981c9,0x7fcc933f6042f840864886fa7f32e0397d3218eb,0x64aa3364f17a4d01c6f1751fd97c2bd3d7e7f1d5,Olympus,OHM,9,10.046108,16684353,815703979115,8536.74183638824,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,18,0.999719,16683190,8578121735047581138950,8576.037251465965,50OHM-50DAI,2023-02-21 21:21:35,2023-02-21
swap-0xa905ddd42e22669a063d59ea0c25f21bfe2fbffead205a1d189ddeaee64cb803-26,1677012059,0xa905ddd42e22669a063d59ea0c25f21bfe2fbffead205a1d189ddeaee64cb803,0x76fcf0e8c7ff37a47a799fa2cd4c13cde0d981c9,0x4e0ba53a8bd472424bf304dc84503a9c526bf0a4,0x64aa3364f17a4d01c6f1751fd97c2bd3d7e7f1d5,Olympus,OHM,9,10.046108,16684353,581066143951,6081.141918857751,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,18,0.999719,16683190,6124493901909669912380,6123.0056498915055,50OHM-50DAI,2023-02-21 20:40:59,2023-02-21
swap-0x9597453256b2c7c0501feea34d53330cfd476d930428018019635ef5414bf846-3,1677004163,0x9597453256b2c7c0501feea34d53330cfd476d930428018019635ef5414bf846,0x76fcf0e8c7ff37a47a799fa2cd4c13cde0d981c9,0x778424d6633cbbc3e28f95f0ed0d4aab2359d7ee,0x64aa3364f17a4d01c6f1751fd97c2bd3d7e7f1d5,Olympus,OHM,9,10.046108,16684353,548950610932,5745.037129202737,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,18,0.999719,16683190,5790298117658071764656,5788.891075215481,50OHM-50DAI,2023-02-21 18:29:23,2023-02-21
swap-0xd3197ed6133038f03bdbd6ca5db183a3e3558894bff53cf4bbaf4ac609af882a-1,1676994179,0xd3197ed6133038f03bdbd6ca5db183a3e3558894bff53cf4bbaf4ac609af882a,0x76fcf0e8c7ff37a47a799fa2cd4c13cde0d981c9,0x080086911d8c78008800fae75871a657b77d0082,0x64aa3364f17a4d01c6f1751fd97c2bd3d7e7f1d5,Olympus,OHM,9,10.046108,16684353,316312582138,3310.3661652394176,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,18,0.999719,16683190,3346629676815629834696,3345.816445804164,50OHM-50DAI,2023-02-21 15:42:59,2023-02-21
swap-0x4fb5d7b9fa77a68e52142c1cc3c3df490cbacbf781e7f43fa2423790add73112-0,1676961755,0x4fb5d7b9fa77a68e52142c1cc3c3df490cbacbf781e7f43fa2423790add73112,0x76fcf0e8c7ff37a47a799fa2cd4c13cde0d981c9,0xc9ec550bea1c64d779124b23a26292cc223327b6,0x64aa3364f17a4d01c6f1751fd97c2bd3d7e7f1d5,Olympus,OHM,9,10.046108,16684353,1834115439442,18745.367759656863,0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,18,0.999719,16683190,19540805560490436543123,19536.56520568381,50OHM-50DAI,2023-02-21 06:42:35,2023-02-21
